lat="37.4824189" lon="127.0653592"
lat="37.4823642" lon="127.0651358"
lat="37.4823095" lon="127.0649124"
lat="37.4822548" lon="127.0646891"
lat="37.4822001" lon="127.0644657"
lat="37.4821454" lon="127.0642424"
lat="37.4820907" lon="127.0640190"
lat="37.4820360" lon="127.0637956"
lat="37.4819813" lon="127.0635723"
lat="37.4819266" lon="127.0633489"
lat="37.4818719" lon="127.0631255"
lat="37.4818172" lon="127.0629022"
lat="37.4817625" lon="127.0626788"
lat="37.4817077" lon="127.0624555"
lat="37.4816530" lon="127.0622321"
lat="37.4815983" lon="127.0620087"
lat="37.4815436" lon="127.0617854"
lat="37.4814889" lon="127.0615620"
lat="37.4814342" lon="127.0613387"
lat="37.4813795" lon="127.0611153"
lat="37.4813248" lon="127.0608919"
lat="37.4812701" lon="127.0606686"
lat="37.4812154" lon="127.0604452"
lat="37.4811607" lon="127.0602218"
lat="37.4811060" lon="127.0599985"
lat="37.4810513" lon="127.0597751"
lat="37.4809966" lon="127.0595518"
lat="37.4809418" lon="127.0593284"
lat="37.4808871" lon="127.0591050"
lat="37.4808324" lon="127.0588817"
lat="37.4807777" lon="127.0586583"
lat="37.4807230" lon="127.0584350"
lat="37.4806683" lon="127.0582116"
lat="37.4806136" lon="127.0579882"
lat="37.4805589" lon="127.0577649"
lat="37.4805042" lon="127.0575415"
lat="37.4804495" lon="127.0573181"
lat="37.4803948" lon="127.0570948"
lat="37.4803401" lon="127.0568714"
lat="37.4802854" lon="127.0566481"
lat="37.4802306" lon="127.0564247"
lat="37.4801759" lon="127.0562013"
lat="37.4801212" lon="127.0559780"
lat="37.4800665" lon="127.0557546"
lat="37.4800118" lon="127.0555313"
lat="37.4799571" lon="127.0553079"
lat="37.4799024" lon="127.0550845"
lat="37.4798477" lon="127.0548612"
lat="37.4797930" lon="127.0546378"
lat="37.4797383" lon="127.0544144"
lat="37.4796836" lon="127.0541911"
lat="37.4796289" lon="127.0539677"
lat="37.4795742" lon="127.0537444"
lat="37.4795195" lon="127.0535210"
lat="37.4794647" lon="127.0532976"
lat="37.4794100" lon="127.0530743"
lat="37.4793553" lon="127.0528509"
lat="37.4793006" lon="127.0526275"
lat="37.4792459" lon="127.0524042"
lat="37.4791912" lon="127.0521808"
lat="37.4791365" lon="127.0519575"
lat="37.4790818" lon="127.0517341"
lat="37.4790271" lon="127.0515107"
lat="37.4789724" lon="127.0512874"
lat="37.4789177" lon="127.0510640"
lat="37.4788630" lon="127.0508407"
lat="37.4788083" lon="127.0506173"
lat="37.4787535" lon="127.0503939"
lat="37.4786988" lon="127.0501706"
lat="37.4786441" lon="127.0499472"
lat="37.4785894" lon="127.0497238"
